,Word,Count
0,ASSAULT,146025
1,THEFT,137884
2,UNDER,93173
3,950,90475
4,BURGLARY,85004
5,SIMPLE,83099
6,VEHICLE,73083
7,PETTY,71446
8,FROM,71374
9,OVER,62894
10,VANDALISM,53476
11,BATTERY,52893
12,WEAPON,47451
13,400,42047
14,OF,39837
15,PLAIN,38205
16,INTIMATE,38134
17,PARTNER,38134
18,FELONY,36681
19,AGGRAVATED,34632
20,GRAND,34264
21,ALL,32281
22,CHURCH,32281
23,VANDALISMS,32281
24,WITH,30947
25,DEADLY,27646
26,IDENTITY,26103
27,ROBBERY,26072
28,MOTOR,25906
29,OR,22628
30,01,21347
31,MISDEAMEANOR,21195
32,399,21195
33,EXCPT,18020
34,GUNS,18020
35,FOWL,18020
36,LIVESTK,18020
37,PROD,18020
38,SHOPLIFTING,16747
39,CRIMINAL,13704
40,THREATS,13033
41,NO,13033
42,DISPLAYED,13033
43,STOLEN,11586
44,ORDER,11045
45,VIOLATION,11042
46,LEWD,9919
47,AND,9183
48,TRESPASSING,7650
49,ATTEMPTED,7252
50,BRANDISH,6772
51,RESTRAINING,6709
52,OTHER,6673
53,BUNCO,6389
54,COURT,6062
55,BIKE,6041
56,LETTERS,5318
57,CALLS,5318
58,PERSON,4923
59,CHILD,4900
60,TELEPHONE,4690
61,DOCUMENT,4536
62,CRIME,4511
63,MISCELLANEOUS,4504
64,SEXUAL,4445
65,FORGERY,4400
66,CONTACT,3551
67,RAPE,2978
68,W,2830
69,FORCIBLE,2751
70,ABUSE,2751
71,PHYSICAL,2751
72,ATTEMPT,2305
73,POLICE,2029
74,SHOTS,1750
75,FIRED,1750
76,CONTEMPT,1726
77,PENETRATION,1693
78,OBJECT,1423
79,CRM,1307
80,AGNST,1307
81,CHLD,1307
82,13,1307
83,14,1307
84,15,1307
85,SUSP,1307
86,10,1307
87,YRS,1307
88,OLDER,1307
89,AT,1258
90,EMBEZZLEMENT,1213
91,SEX,1064
92,EXTORTION,1063
93,FIREARMS,1045
94,DISCHARGE,1030
95,INDECENT,1014
96,EXPOSURE,1014
97,DISTURBING,976
98,THE,976
99,PEACE,976
100,ARSON,949
101,CONSENT,938
102,ANNOYING,907
103,17YRS,907
104,FOREIGN,885
105,TO,836
106,UNLAWFUL,808
107,INC,808
108,MUTUAL,808
109,FRGN,808
110,OBJ,808
111,RESISTING,771
112,ARREST,771
113,NEGLECT,754
114,SEE,754
115,300,754
116,I,754
117,C,754
118,HOMICIDE,671
119,MOVING,655
120,THREATENING,632
121,PHONE,632
122,INHABITED,603
123,DWELLING,603
124,DEFRAUDING,583
125,INNKEEPER,583
126,SERVICES,583
127,KIDNAPPING,580
128,THROWING,538
129,TEMPORARY,527
130,ON,525
131,UNAUTHORIZED,494
132,COMPUTER,494
133,ACCESS,494
134,PICKPOCKET,473
135,ORAL,461
136,COPULATION,461
137,CONDUCT,421
138,OFFICER,413
139,BOMB,388
140,SCARE,388
141,ACTS,384
142,SODOMY,383
143,B,383
144,PENIS,383
145,ONE,383
146,PERS,383
147,ANUS,383
148,OTH,383
149,STALKING,378
150,FALSE,371
151,PEEPING,315
152,TOM,315
153,HUMAN,306
154,TRAFFICKING,306
155,PURSE,286
156,SNATCHING,286
157,IMPRISONMENT,276
158,FRAUD,271
159,FAILURE,270
160,YIELD,268
161,CREDIT,261
162,CARDS,261
163,USE,261
164,COMMERCIAL,256
165,PROWLER,225
166,DRIVING,221
167,STEALING,196
168,CRUELTY,171
169,ANIMALS,171
170,COUNTERFEIT,145
171,PORNOGRAPHY,137
172,WORTHLESS,136
173,200,136
174,ILLEGAL,133
175,WITHOUT,130
176,OWNER,130
177,DWOC,130
178,A,130
179,DUMPING,129
180,LASCIVIOUS,126
181,PANDERING,125
182,TRAIN,118
183,AIRCRAFT,117
184,FIREFIGHTER,112
185,REPORT,95
186,COIN,94
187,MACHINE,94
188,DISHONEST,91
189,EMPLOYEE,91
190,RECKLESS,91
191,PIMPING,61
192,TILL,52
193,TAP,52
194,INVOLUNTARY,50
195,SERVITUDE,50
196,WEAPONS,43
197,POSSESSION,43
198,BOMBING,43
199,CONTRIBUTING,41
200,ABANDONMENT,29
201,CONSPIRACY,18
202,DRUNK,16
203,ROLL,16
204,DRUGS,12
205,MINOR,12
206,LYNCHING,12
207,INSURANCE,10
208,DISRUPT,10
209,SCHOOL,10
210,REPLICA,9
211,SALE,9
212,DISPLAY,9
213,MANUFACTURE,9
214,DISTRIBUTE,9
215,AUTO,9
216,REPAIR,9
217,BEASTIALITY,7
218,AGAINST,7
219,NATURE,7
220,ASSLT,7
221,ANIM,7
222,INCITING,6
223,RIOT,6
224,PROPERTY,4
225,DAMAGE,4
226,ABORTION,4
227,BOAT,3
228,RO,3
229,BRIBERY,3
230,BIGAMY,3
231,MANSLAUGHTER,2
232,NEGLIGENT,2
233,DISPERSE,2
234,INCEST,2
235,BETWEEN,2
236,BLOOD,2
237,RELATIVES,2
238,WRECKING,1
239,BLOCKING,1
240,DOOR,1
241,INDUCTION,1
242,CENTER,1
243,TEMP,1
